pool,r2,r2_adj,horizon,run_type,split_type,target_variable
3000,0.0729981118828142,0.06312087480581219,10,all_features,train,cum_volume_500
3000,0.06528044473844552,0.05472772358231335,20,all_features,train,cum_volume_500
3000,0.06197777104269368,0.050631380961608755,30,all_features,train,cum_volume_500
3000,0.06696751560987438,0.05495937018036758,40,all_features,train,cum_volume_500
3000,0.05936918050640956,0.046466148912712654,50,all_features,train,cum_volume_500
3000,0.061521560530049646,0.04783636695507272,60,all_features,train,cum_volume_500
3000,0.07048218794906617,0.05617667380244125,70,all_features,train,cum_volume_500
3000,0.08070043384179706,0.06579171770461349,80,all_features,train,cum_volume_500
3000,0.08194904549933484,0.0663674891868081,90,all_features,train,cum_volume_500
3000,0.09010842267722405,0.0737951541588699,100,all_features,train,cum_volume_500
3000,0.12249200139747655,0.10602255624210263,110,all_features,train,cum_volume_500
3000,0.12314599792201368,0.10574974469231338,120,all_features,train,cum_volume_500
3000,0.12442219390217824,0.10619733790568497,130,all_features,train,cum_volume_500
3000,0.14759698136005053,0.128968113961266,140,all_features,train,cum_volume_500
3000,0.1797566722197844,0.16092112286671217,150,all_features,train,cum_volume_500
3000,0.18363941017395902,0.16390012130079049,160,all_features,train,cum_volume_500
3000,0.18286586740750027,0.16225347487363545,170,all_features,train,cum_volume_500
3000,0.1842963376099153,0.1627575172743395,180,all_features,train,cum_volume_500
3000,0.1795579482949762,0.1566254476853872,190,all_features,train,cum_volume_500
3000,0.23157576148344328,0.20904131732226267,200,all_features,train,cum_volume_500
3000,0.23719764006698912,0.2138635547667805,210,all_features,train,cum_volume_500
3000,0.23971867931904126,0.2154728057665733,220,all_features,train,cum_volume_500
3000,0.23876055508726807,0.2135976789917297,230,all_features,train,cum_volume_500
3000,0.23767725001623613,0.21135130260674231,240,all_features,train,cum_volume_500
3000,0.23826413344313088,0.21082133860392158,250,all_features,train,cum_volume_500
3000,0.24336585581953094,0.21495647509522287,260,all_features,train,cum_volume_500
3000,0.24833247460005312,0.21877817684685907,270,all_features,train,cum_volume_500
3000,0.25454120765562593,0.2240432561167629,280,all_features,train,cum_volume_500
3000,0.25090248494159073,0.21867319803636906,290,all_features,train,cum_volume_500
3000,0.25845821404646524,0.22524773195595155,300,all_features,train,cum_volume_500
3000,0.10501301031079682,0.09547689253109821,10,all_features,train,cum_volume_3000
3000,0.08811945235733556,0.07782457782545202,20,all_features,train,cum_volume_3000
3000,0.08755615272700316,0.07651916336319835,30,all_features,train,cum_volume_3000
3000,0.08646476839871006,0.07470755692968647,40,all_features,train,cum_volume_3000
3000,0.08975736116619322,0.07727118022579757,50,all_features,train,cum_volume_3000
3000,0.09029063706034897,0.07702495881216728,60,all_features,train,cum_volume_3000
3000,0.0962565493012236,0.08234770909259448,70,all_features,train,cum_volume_3000
3000,0.10087037743503216,0.0862887664233678,80,all_features,train,cum_volume_3000
3000,0.10131772289524091,0.08606489778021038,90,all_features,train,cum_volume_3000
3000,0.10681622214535613,0.09080249590686598,100,all_features,train,cum_volume_3000
3000,0.10764783589563051,0.09089977877545381,110,all_features,train,cum_volume_3000
3000,0.11048637259486524,0.09283896005305334,120,all_features,train,cum_volume_3000
