blockNumber,horizon,min_flag,reference_blockNumber,horizon_label,closest_blockNumber,volume_500,volume_3000,cum_volume_500,cum_volume_3000,cum_volume_base,s0,w0,blsame_1,slsame_1,wlsame_1,slsame_2,wlsame_2,slsame_3,wlsame_3,vol_0_3,avg-USD-isame_01,avg-USD-isame_12,avg-USD-isame_23,blother_1,slother_1,wlother_1,slother_2,wlother_2,slother_3,wlother_3,avg-USD-iother_01,avg-USD-iother_12,avg-USD-iother_23,binance-midprice-01,binance-midprice-12,binance-midprice-23,pool,rate-count-isame_03,rate-count-iother_03,binance-btc-03
14511179,10.0,0,14510989,20,14511179.0,10008.595102025229,0.0,638898.9598345049,0.0,638898.9598345049,1173.5611134269916,2040.0,599.0,78746.62947658253,3600.0,427.976263887762,2460.0,37183.826669504095,1560.0,0.0167615078550793,1173.5611134269916,78746.62947658253,194113.5250830524,205.0,82655.6766153113,1370.0,20510.932164458984,1470.0,30963.30168565115,1340.0,62133.94478686121,75100.72222696718,53581.11900845906,0.0750278784326498,0.0750007850213762,0.0750037384779859,3000,11.0,20.0,9.75695584829774
14512415,10.0,0,14512225,20,14512415.0,172548.0238046613,0.0,674364.1574409374,0.0,674364.1574409374,80973.78623415281,3600.0,88.0,1423.9959166216524,4860.0,1410.0905366060324,3600.0,19111.45535963924,2160.0,0.0,80973.78623415281,1423.9959166216524,1410.0905366060324,409.0,1119455.969029902,270.0,6367.320676952076,1440.0,5698.874177194813,3360.0,69489.96701549758,427759.6073306016,50782.88102581059,0.0752879313565247,0.0751544045105367,0.0753263533488381,3000,3.0,28.0,17.2160280091378
14512666,10.0,0,14512476,20,,0.0,0.0,649860.2789015473,0.0,649860.2789015473,233410.6780228041,1080.0,296.0,80973.78623415281,3600.0,1423.9959166216524,4860.0,1410.0905366060324,3600.0,0.0009486409647014,123982.5667442676,80973.78623415281,1423.9959166216524,660.0,1119455.969029902,270.0,6367.320676952076,1440.0,5698.874177194813,3360.0,91152.70539855157,427759.6073306016,50782.88102581059,0.0753782852580711,0.0752879313565247,0.0751544045105367,3000,8.0,40.0,37.08941296648992
14513355,10.0,0,14513173,20,14513355.0,466943.0654846021,0.0,1680030.3584331144,22330.531732589512,1702360.8901657038,25471.828424832907,4020.0,948.0,233410.6780228041,1080.0,80973.78623415281,3600.0,1423.9959166216524,4860.0,0.0009486409647014,25471.828424832907,123982.5667442676,80973.78623415281,1276.0,3852.8584154346936,3360.0,1119455.969029902,270.0,6367.320676952076,1440.0,84226.67931622133,98693.6136340378,427759.6073306016,0.0753807652528488,0.0753782852580711,0.0752879313565247,3000,8.0,52.0,46.09930106075175
14515737,10.0,0,14515547,20,,0.0,0.0,4015193.668383328,1273308.7752056725,5288502.443589,3259.0927024721123,2280.0,2374.0,49525.54804087215,900.0,25471.828424832907,4020.0,233410.6780228041,1080.0,0.0161460133505635,3259.0927024721123,98707.95264091255,25471.828424832907,1600.0,1264213.6485977229,120.0,9376.84650838365,3030.0,444192.10325029166,1020.0,125392.06532179288,324851.270025919,82226.69991845461,0.0756118296210544,0.0753168190776082,0.0753807652528488,3000,11.0,117.0,121.7878496721152
14517956,10.0,0,14517766,20,14517956.0,95584.2764727532,0.0,273163.5255630102,0.0,273163.5255630102,15093.769337267997,540.0,2291.0,3259.0927024721123,2280.0,49525.54804087215,900.0,25471.828424832907,4020.0,0.0089976793704428,434951.89626153634,3259.0927024721123,98707.95264091255,639.0,10084.581741446043,1470.0,416182.9021751111,7970.0,2241124.560569873,970.0,94836.17947232391,47205.57434833026,90276.09308960287,0.0758131161424579,0.0756118296210544,0.0753168190776082,3000,30.0,47.0,117.60820470756244
14518593,10.0,0,14518403,20,,0.0,0.0,1114068.274952724,260937.67325320884,1375005.9482059327,113.10939142216434,3600.0,637.0,57555.941950556575,1680.0,15093.769337267997,540.0,3259.0927024721123,2280.0,0.0090115976800306,1958.955510727164,57555.941950556575,434951.89626153634,227.0,56135.82796828844,2670.0,1032714.6722556372,160.0,125900.27857807557,1250.0,202276.6317785636,31802.85438318556,257818.15209670845,0.0757442189593464,0.0758014513507114,0.0758131161424579,3000,23.0,23.0,43.65236751218767
14519018,10.0,0,14518828,20,14519018.0,491004.6103527292,997166.2222204268,1488118.9530660056,2409680.72960183,3897799.682667836,3809.566762362565,4560.0,485.0,113.10939142216434,3600.0,57555.941950556575,1680.0,15093.769337267997,540.0,0.0019793712217555,91209.6890815883,1958.955510727164,57555.941950556575,652.0,56135.82796828844,2670.0,1032714.6722556372,160.0,125900.27857807557,1250.0,134843.53581620537,31802.85438318556,257818.15209670845,0.0754004041296077,0.0757442189593464,0.0758014513507114,3000,12.0,49.0,105.82525406600459
14519773,10.0,0,14519590,20,,0.0,0.0,4096278.52641632,0.0,4096278.52641632,85.95341160694863,3600.0,1187.0,3809.566762362565,4560.0,113.10939142216434,3600.0,57555.941950556575,1680.0,0.0035671410220171,333132.0863631058,91209.6890815883,1958.955510727164,1414.0,56135.82796828844,2670.0,1032714.6722556372,160.0,125900.27857807557,1250.0,162580.6822509312,31802.85438318556,257818.15209670845,0.0753518356781541,0.0754004041296077,0.0757442189593464,3000,29.0,94.0,106.1713555118003
14522903,10.0,0,14522715,20,,0.0,0.0,101722.98726865584,92441.86681286935,194164.8540815252,86965.81468901393,4260.0,3887.0,85.95341160694863,3600.0,3809.566762362565,4560.0,113.10939142216434,3600.0,0.0020617611550341,198386.0286673268,333132.0863631058,91209.6890815883,4507.0,7408.967323161395,740.0,56135.82796828844,2670.0,1032714.6722556372,160.0,142287.40183233563,186117.8795857343,31802.85438318556,0.0755484928458196,0.0753518356781541,0.0754004041296077,3000,88.0,278.0,337.72289408852237
