,binance-count-01,binance-btc-01,binance-midprice-01,binance-count-12,binance-btc-12,binance-midprice-12,binance-count-23,binance-btc-23,binance-midprice-23
370218344,10028,27.949106384884054,0.07280911898247763,,,,,,
1263788371,1947,6.378870045754923,0.0728068463900205,10028.0,27.949106384884054,0.07280911898247763,,,
3462638108,4029,12.264517549753554,0.07263066061926512,1947.0,6.378870045754923,0.0728068463900205,10028.0,27.949106384884054,0.07280911898247763
3055635871,9023,25.974636366886074,0.07286333635727685,4029.0,12.264517549753554,0.07263066061926512,1947.0,6.378870045754923,0.0728068463900205
2176811445,4724,8.823814687244981,0.07319700270469821,9023.0,25.974636366886074,0.07286333635727685,4029.0,12.264517549753554,0.07263066061926512
2237644854,22011,52.60726481562741,0.07361378064859805,4724.0,8.823814687244981,0.07319700270469821,9023.0,25.974636366886074,0.07286333635727685
3386361835,3155,12.034487783434137,0.0739007402270084,22011.0,52.60726481562741,0.07361378064859805,4724.0,8.823814687244981,0.07319700270469821
1409603530,443,1.036917635084298,0.07463253014395106,3155.0,12.034487783434137,0.0739007402270084,22011.0,52.60726481562741,0.07361378064859805
3739926248,2035,4.034186589723924,0.07436107314518682,443.0,1.036917635084298,0.07463253014395106,3155.0,12.034487783434137,0.0739007402270084
1723758658,4446,14.352926783270648,0.07464729719185552,2035.0,4.034186589723924,0.07436107314518682,443.0,1.036917635084298,0.07463253014395106
3719821867,4066,14.579993577972592,0.0745390005462927,4446.0,14.352926783270648,0.07464729719185552,2035.0,4.034186589723924,0.07436107314518682
522106096,199,0.2499542234656878,0.07475684383059138,4066.0,14.579993577972592,0.0745390005462927,4446.0,14.352926783270648,0.07464729719185552
1379525675,4853,15.508830705587961,0.07477560677672886,199.0,0.2499542234656878,0.07475684383059138,4066.0,14.579993577972592,0.0745390005462927
766331532,466,1.2334815027534676,0.07478839024603173,4853.0,15.508830705587961,0.07477560677672886,199.0,0.2499542234656878,0.07475684383059138
1624116951,168,0.3891544006884985,0.07479327362046555,466.0,1.2334815027534676,0.07478839024603173,4853.0,15.508830705587961,0.07477560677672886
3147549024,1526,5.452843274880889,0.07479325502169673,168.0,0.3891544006884985,0.07479327362046555,466.0,1.2334815027534676,0.07478839024603173
3235081802,1953,6.364011425856817,0.07477777322489257,1526.0,5.452843274880889,0.07479325502169673,168.0,0.3891544006884985,0.07479327362046555
