id,timestamp,amount0,amount1,amountUSD,pool,transaction_type
0xf723070106f5a7a0578fd5648e8ad9ff0db5607df02b6706ad809fb2212cdd96#656808,1687280231,0.21255045,-3.326412930265559059,5798.02172620534373491719629348599,500,swaps
0xe43cb876fc45c5747598564b2ecb8a871915c62975fa2cb0e531dc11f2d37d8b#656806,1687280231,-0.38823676,6.080372891191326706,10594.29437688206383939644559314592,500,swaps
0x098b9546442e6bcab34e8c64ef69a632dc42f5a59285818e6606f29cd4cfc896#656807,1687280231,-2.74511781,42.99897913282169,74915.30638440516838895106559987625,500,swaps
0xfd8afd51c0e961fb3775af436a73ef352b6b77adeceee0c71cf025d8323bee1c#656805,1687280219,-0.34212818,5.358060162353028259,9335.87058659504034437253266635783,500,swaps
0xeb02d4552ba5f10b9255ddf6b806adb360f727c60eb236672ce4dc3cbee93cb0#656803,1687280207,-0.37382097,5.854093371742328195,10200.42443128789371274706287031962,500,swaps
0x76933f81eedf226acfe32c1431a2786dbbeb7cde98d30803b80bb4bc30a7f6a3#656804,1687280207,-0.20254685,3.172,5526.95507611781869268538694261188,500,swaps
0xa89598a827b7a27880e59af29b5dd5a7423cc2cfbc37197b040e88eccb6b122b#656802,1687280183,0.03807096,-0.595591571460323782,1038.223612897317706531816738764401,500,swaps
0xeef7b8a1f2384936011ddfff769e5611d287b9fad475f7af730d445d67db5ba7#656801,1687280159,-1.21216776,18.981392597831909376,33072.37393568834992844149325678821,500,swaps
0x099b2a348ebfe248501efb8a2616563d901fc7590074eea3412cf405d95f96d3#656800,1687280135,-1.60225787,25.086532870726692754,43712.58164980937594172179043922607,500,swaps
0x02c7d2c4aafc8feeb7c13ff05102ae603da531538329a25231a1af7159bb7d32#656799,1687280135,-1.22338317,19.151967502911452282,33373.96744268921574411532221540585,500,swaps
0xd75537022c34882946e91d5b2467cd1a6b1e7ec9a4a67760c55a862a7bc9eba5#656798,1687280051,0.00242654,-0.037947045135033559,66.16104432219135010729011042544065,500,swaps
0x7de035fb1b7d7b439f9ceada1591389c88a5180875965cee050a0f4ee15f9f7b#656797,1687280027,1.22346912,-19.134168182830382115,33359.60783926798127706425280951361,500,swaps
0xcf2c1190b5a36691bbdbde53ff8ed664e2f12b73bf671466597d31c2f2d521c4#656796,1687279931,2.55768975,-40.007473731167513532,69745.17472977022563139155219742155,500,swaps
0xaf8f3d8ec5487908c2a1f13ae2cb9cab30466d7f4d118872eb1ff6a0969b802a#656795,1687279763,0.06541873,-1.023407452065759555,1780.367277761983564416682422988365,500,swaps
0xc0482b4425860ac516dacb34620768217ecb3366c3e5459ad173d43338e9545e#656793,1687279475,0.0447,-0.699288244102384384,1215.301361393109838285200233207143,500,swaps
0x1233efbd6dd1eab810ab8bcb1e2f4491d9414fd49c2d24ebf85ed2686db8d53e#656791,1687279391,0.02973769,-0.465219008203287355,808.5058658721630886973043768066565,500,swaps
0xa391298038292d036db81955425c9e977d544eeafa0d47d7eb74930f8ff7c223#656790,1687279247,0.05887585,-0.921062884481268277,1600.712076972825501811496508154966,500,swaps
0xa391298038292d036db81955425c9e977d544eeafa0d47d7eb74930f8ff7c223#656789,1687279247,0.09055687,-1.416695958875143989,2462.062175692512061099621564991053,500,swaps
0x6c8fa03a2ce482f4e52a5b521661b95baf98be49db1ac10282920e90cf4cda72#656788,1687279247,-5,78.280946455890058249,135991.9572157600305398895826668914,500,swaps
0xc21c09504a7e37efcb1672307e9c43fce169ab47fe525df8fad6e6493de5ea6c#656787,1687279223,-0.19932893,3.119943301716675289,5420.740696148047308161833530863065,500,swaps
0x8118fc7da98af3b65754d911bc4261e7f6c14a529076447723d9eb0b6c57a319#656786,1687279187,0.69480461,-10.864633458528834051,18885.94758701544940712655195594914,500,swaps
